time_s z_m[FEM] v_m_per_s[FEM-diff] a_m_per_s2[FEM-diff] i_coil_A[FEM] emf_V[FEM]
1.000000e-03 4.605844e-02 -1.384023e-02 -4.601015e+00 0.000000e+00 0.000000e+00
2.000000e-03 4.604460e-02 -1.844125e-02 -6.895313e+00 8.971699e-07 -8.741242e-06
3.000000e-03 4.602156e-02 -2.763086e-02 -9.176192e+00 1.346534e-03 -1.311945e-02
4.000000e-03 4.598934e-02 -3.679363e-02 -9.147361e+00 2.313608e-03 -2.254179e-02
5.000000e-03 4.594797e-02 -4.592558e-02 -9.114553e+00 3.007308e-03 -2.930059e-02
6.000000e-03 4.589749e-02 -5.502273e-02 -9.077791e+00 3.503323e-03 -3.413333e-02
7.000000e-03 4.583793e-02 -6.408116e-02 -9.037098e+00 3.856129e-03 -3.757076e-02
8.000000e-03 4.576933e-02 -7.309693e-02 -8.992496e+00 4.104940e-03 -3.999496e-02
9.000000e-03 4.569174e-02 -8.206615e-02 -8.944012e+00 4.277989e-03 -4.168100e-02
1.000000e-02 4.560520e-02 -9.098495e-02 -8.891674e+00 4.395608e-03 -4.282698e-02
1.100000e-02 4.550977e-02 -9.984950e-02 -8.835510e+00 4.472439e-03 -4.357556e-02
1.200000e-02 4.540550e-02 -1.086560e-01 -8.775551e+00 4.519030e-03 -4.402949e-02
1.300000e-02 4.529245e-02 -1.174006e-01 -8.711831e+00 4.542975e-03 -4.426279e-02
1.400000e-02 4.517070e-02 -1.260796e-01 -8.644382e+00 4.549741e-03 -4.432871e-02
1.500000e-02 4.504029e-02 -1.346894e-01 -8.573242e+00 4.543257e-03 -4.426554e-02
1.600000e-02 4.490132e-02 -1.432261e-01 -8.498445e+00 4.526336e-03 -4.410068e-02
1.700000e-02 4.475384e-02 -1.516863e-01 -8.420031e+00 4.500980e-03 -4.385363e-02
1.800000e-02 4.459795e-02 -1.600662e-01 -8.338042e+00 4.468590e-03 -4.353805e-02
1.900000e-02 4.443371e-02 -1.683623e-01 -8.252518e+00 4.430123e-03 -4.316326e-02
2.000000e-02 4.426122e-02 -1.765712e-01 -8.163503e+00 4.386191e-03 -4.273522e-02
2.100000e-02 4.408057e-02 -1.846893e-01 -8.071041e+00 4.337128e-03 -4.225720e-02
2.200000e-02 4.389184e-02 -1.927133e-01 -7.975178e+00 4.283034e-03 -4.173016e-02
2.300000e-02 4.369514e-02 -2.006397e-01 -7.875963e+00 4.223789e-03 -4.115292e-02
2.400000e-02 4.349056e-02 -2.084652e-01 -7.773444e+00 4.159047e-03 -4.052213e-02
2.500000e-02 4.327821e-02 -2.161866e-01 -7.667670e+00 4.083167e-03 -3.978283e-02
2.600000e-02 4.305819e-02 -2.238006e-01 -7.558696e+00 4.001426e-03 -3.898642e-02
2.700000e-02 4.283061e-02 -2.313040e-01 -7.446573e+00 3.907051e-03 -3.806690e-02
2.800000e-02 4.259558e-02 -2.386937e-01 -7.331354e+00 3.849016e-03 -3.750147e-02
2.900000e-02 4.235322e-02 -2.459667e-01 -7.213097e+00 3.761232e-03 -3.664617e-02
3.000000e-02 4.210365e-02 -2.531199e-01 -7.091859e+00 3.635694e-03 -3.542304e-02
3.100000e-02 4.184698e-02 -2.601504e-01 -6.967696e+00 3.477940e-03 -3.388602e-02
3.200000e-02 4.158335e-02 -2.670553e-01 -6.840668e+00 3.072231e-03 -2.993314e-02
3.300000e-02 4.131287e-02 -2.738317e-01 -6.710836e+00 2.734399e-03 -2.664160e-02
3.400000e-02 4.103568e-02 -2.804770e-01 -6.578262e+00 2.454220e-03 -2.391178e-02
3.500000e-02 4.075192e-02 -2.869883e-01 -6.443006e+00 2.299904e-03 -2.240826e-02
3.600000e-02 4.046171e-02 -2.933630e-01 -6.305135e+00 2.301995e-03 -2.242864e-02
3.700000e-02 4.016519e-02 -2.995985e-01 -6.164713e+00 2.352892e-03 -2.292453e-02
3.800000e-02 3.986251e-02 -3.056924e-01 -6.021805e+00 2.414671e-03 -2.352645e-02
3.900000e-02 3.955381e-02 -3.116421e-01 -5.876477e+00 2.478866e-03 -2.415192e-02
4.000000e-02 3.923923e-02 -3.174454e-01 -5.728799e+00 2.531719e-03 -2.466687e-02
4.100000e-02 3.891892e-02 -3.230997e-01 -5.578838e+00 2.587227e-03 -2.520769e-02
4.200000e-02 3.859303e-02 -3.286030e-01 -5.426664e+00 2.620166e-03 -2.552862e-02
4.300000e-02 3.826171e-02 -3.339531e-01 -5.272348e+00 2.653391e-03 -2.585233e-02
4.400000e-02 3.792512e-02 -3.391477e-01 -5.115961e+00 2.685602e-03 -2.616616e-02
4.500000e-02 3.758341e-02 -3.441850e-01 -4.957574e+00 2.649271e-03 -2.581219e-02
4.600000e-02 3.723675e-02 -3.490629e-01 -4.797262e+00 2.637415e-03 -2.569668e-02
4.700000e-02 3.688529e-02 -3.537795e-01 -4.635096e+00 2.660622e-03 -2.592278e-02
4.800000e-02 3.652919e-02 -3.583331e-01 -4.471152e+00 2.690480e-03 -2.621370e-02
4.900000e-02 3.616862e-02 -3.627218e-01 -4.305504e+00 2.721059e-03 -2.651163e-02
5.000000e-02 3.580375e-02 -3.669441e-01 -4.138229e+00 2.751004e-03 -2.680339e-02
5.100000e-02 3.543473e-02 -3.709983e-01 -3.969402e+00 2.742683e-03 -2.672231e-02
5.200000e-02 3.506175e-02 -3.748829e-01 -3.799099e+00 2.747461e-03 -2.676887e-02
5.300000e-02 3.468497e-02 -3.785965e-01 -3.627398e+00 2.760203e-03 -2.689301e-02
5.400000e-02 3.430456e-02 -3.821377e-01 -3.454378e+00 2.808560e-03 -2.736417e-02
5.500000e-02 3.392069e-02 -3.855052e-01 -3.280115e+00 2.849133e-03 -2.775947e-02
5.600000e-02 3.353355e-02 -3.886979e-01 -3.104688e+00 2.883309e-03 -2.809245e-02
5.700000e-02 3.314330e-02 -3.917146e-01 -2.928178e+00 2.906365e-03 -2.831709e-02
5.800000e-02 3.275012e-02 -3.945543e-01 -2.750662e+00 2.923723e-03 -2.848621e-02
5.900000e-02 3.235419e-02 -3.972159e-01 -2.572221e+00 2.938498e-03 -2.863016e-02
6.000000e-02 3.195569e-02 -3.996987e-01 -2.392934e+00 2.953265e-03 -2.877404e-02
6.100000e-02 3.155479e-02 -4.020018e-01 -2.212881e+00 2.965461e-03 -2.889287e-02
6.200000e-02 3.115168e-02 -4.041245e-01 -2.032144e+00 2.971254e-03 -2.894932e-02
6.300000e-02 3.074654e-02 -4.060661e-01 -1.850803e+00 2.976387e-03 -2.899932e-02
6.400000e-02 3.033955e-02 -4.078261e-01 -1.668938e+00 2.978640e-03 -2.902127e-02
6.500000e-02 2.993089e-02 -4.094040e-01 -1.486629e+00 3.009094e-03 -2.931799e-02
6.600000e-02 2.952074e-02 -4.107993e-01 -1.303958e+00 3.029083e-03 -2.951275e-02
6.700000e-02 2.910929e-02 -4.120119e-01 -1.121007e+00 3.043626e-03 -2.965444e-02
6.800000e-02 2.869672e-02 -4.130414e-01 -9.378545e-01 3.051275e-03 -2.972896e-02
6.900000e-02 2.828321e-02 -4.138876e-01 -7.545825e-01 3.065333e-03 -2.986594e-02
7.000000e-02 2.786894e-02 -4.145505e-01 -5.712723e-01 3.071408e-03 -2.992513e-02
7.100000e-02 2.745411e-02 -4.150301e-01 -3.880037e-01 3.103924e-03 -3.024193e-02
7.200000e-02 2.703888e-02 -4.153265e-01 -2.048580e-01 3.137959e-03 -3.057354e-02
7.300000e-02 2.662345e-02 -4.154398e-01 -2.191475e-02 3.151587e-03 -3.070632e-02
7.400000e-02 2.620800e-02 -4.153704e-01 1.607460e-01 3.168441e-03 -3.087053e-02
7.500000e-02 2.579271e-02 -4.151184e-01 3.430435e-01 3.167110e-03 -3.085757e-02
7.600000e-02 2.537777e-02 -4.146843e-01 5.248990e-01 3.166547e-03 -3.085207e-02
7.700000e-02 2.496335e-02 -4.140686e-01 7.062332e-01 3.171551e-03 -3.090083e-02
7.800000e-02 2.454963e-02 -4.132718e-01 8.869668e-01 3.196736e-03 -3.114621e-02
7.900000e-02 2.413680e-02 -4.122946e-01 1.067021e+00 3.212369e-03 -3.129852e-02
8.000000e-02 2.372504e-02 -4.111378e-01 1.246319e+00 3.122429e-03 -3.042223e-02
8.100000e-02 2.331453e-02 -4.098020e-01 1.424782e+00 3.054638e-03 -2.976173e-02
8.200000e-02 2.290544e-02 -4.082882e-01 1.602334e+00 2.999756e-03 -2.922701e-02
8.300000e-02 2.249795e-02 -4.065973e-01 1.778897e+00 2.927734e-03 -2.852529e-02
8.400000e-02 2.209224e-02 -4.047304e-01 1.954396e+00 2.922150e-03 -2.847088e-02
8.500000e-02 2.168849e-02 -4.026885e-01 2.128755e+00 2.905402e-03 -2.830771e-02
