   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   1.893886467982E+011   8.384413425313E+011   1.000000000000E-003   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   6.333429000000E-001   0.000000000000E+000   5.012000000000E-001   0.000000000000E+000
   8.290164619946E-001   8.290164619946E-001   5.844969492483E-001   4.155030507517E-001   2.457316291559E+011   1.087877021850E+012   2.000000000000E-003   8.290164619946E-001   1.000000000000E+000   8.290164619946E-001   5.844969492483E-001   8.290164619946E-001   4.155030507517E-001   6.333429000000E-001   4.352764945634E-001   5.012000000000E-001   3.444588690821E-001
   9.443146210463E-001   9.443146210463E-001   5.267095119316E-001   4.732904880684E-001   2.481458690898E+011   1.098565088984E+012   3.000000000000E-003   9.443146210463E-001   1.000000000000E+000   9.443146210463E-001   5.267095119316E-001   9.443146210463E-001   4.732904880684E-001   6.333429000000E-001   5.647709297818E-001   5.012000000000E-001   4.469351278851E-001
   9.489420876483E-001   9.489420876483E-001   5.243902256707E-001   4.756097743293E-001   2.482430104200E+011   1.098995142785E+012   4.000000000000E-003   9.489420876483E-001   1.000000000000E+000   9.489420876483E-001   5.243902256707E-001   9.489420876483E-001   4.756097743293E-001   6.333429000000E-001   5.703196356479E-001   5.012000000000E-001   4.513261321580E-001
   9.491278100165E-001   9.491278100165E-001   5.242971416197E-001   4.757028583803E-001   2.482469095630E+011   1.099012404657E+012   5.000000000000E-003   9.491278100165E-001   1.000000000000E+000   9.491278100165E-001   5.242971416197E-001   9.491278100165E-001   4.757028583803E-001   6.333429000000E-001   5.705428979100E-001   5.012000000000E-001   4.515028121930E-001
   9.491352639435E-001   9.491352639435E-001   5.242934057115E-001   4.757065942885E-001   2.482470660549E+011   1.099013097461E+012   6.000000000000E-003   9.491352639435E-001   1.000000000000E+000   9.491352639435E-001   5.242934057115E-001   9.491352639435E-001   4.757065942885E-001   6.333429000000E-001   5.705518594045E-001   5.012000000000E-001   4.515099039296E-001
   9.491355631051E-001   9.491355631051E-001   5.242932557717E-001   4.757067442283E-001   2.482470723356E+011   1.099013125267E+012   7.000000000000E-003   9.491355631051E-001   1.000000000000E+000   9.491355631051E-001   5.242932557717E-001   9.491355631051E-001   4.757067442283E-001   6.333429000000E-001   5.705522190734E-001   5.012000000000E-001   4.515101885560E-001
   9.491355751119E-001   9.491355751119E-001   5.242932497539E-001   4.757067502461E-001   2.482470725877E+011   1.099013126383E+012   8.000000000000E-003   9.491355751119E-001   1.000000000000E+000   9.491355751119E-001   5.242932497539E-001   9.491355751119E-001   4.757067502461E-001   6.333429000000E-001   5.705522335087E-001   5.012000000000E-001   4.515101999794E-001
   9.491355755938E-001   9.491355755938E-001   5.242932495124E-001   4.757067504876E-001   2.482470725978E+011   1.099013126428E+012   9.000000000000E-003   9.491355755938E-001   1.000000000000E+000   9.491355755938E-001   5.242932495124E-001   9.491355755938E-001   4.757067504876E-001   6.333429000000E-001   5.705522340881E-001   5.012000000000E-001   4.515102004379E-001
   9.491355756131E-001   9.491355756131E-001   5.242932495027E-001   4.757067504973E-001   2.482470725983E+011   1.099013126430E+012   1.000000000000E-002   9.491355756131E-001   1.000000000000E+000   9.491355756131E-001   5.242932495027E-001   9.491355756131E-001   4.757067504973E-001   6.333429000000E-001   5.705522341113E-001   5.012000000000E-001   4.515102004563E-001
