frame,t_s,z_magnet_m,z_magnet_std_m,z_bore_m
1,0.001,0.04596847331382779,0.009500261893201786,0.020199317668384557
2,0.002,0.04595199685038984,0.009500261893201804,0.020199317668384557
3,0.003,0.04592456558670909,0.009500261893201831,0.020199317668384557
4,0.004,0.045886209096114544,0.009500261893201871,0.020199317668384557
5,0.005,0.04583696170773507,0.009500261893201922,0.020199317668384557
6,0.006,0.045776862483806975,0.009500261893201984,0.020199317668384557
7,0.007,0.04570595519492888,0.009500261893202055,0.020199317668384557
8,0.008,0.04562428829329576,0.00950026189320214,0.020199317668384557
9,0.009000000000000001,0.045531914883911624,0.009500261893202234,0.020199317668384557
10,0.01,0.04542889269380648,0.00950026189320234,0.020199317668384557
11,0.011,0.045315284039263305,0.009500261893202454,0.020199317668384557
12,0.012,0.04519115579108913,0.009500261893202583,0.020199317668384557
13,0.013000000000000001,0.045056579337934936,0.00950026189320272,0.020199317668384557
14,0.014,0.04491163054769072,0.009500261893202869,0.020199317668384557
15,0.015,0.04475638972695049,0.009500261893203028,0.020199317668384557
16,0.016,0.044590941578650255,0.009500261893203197,0.020199317668384557
17,0.017,0.044415375157760006,0.009500261893203377,0.020199317668384557
18,0.018000000000000002,0.04422978382520973,0.009500261893203568,0.020199317668384557
19,0.019,0.04403426519992945,0.009500261893203767,0.020199317668384557
20,0.02,0.04382892110913915,0.009500261893203975,0.020199317668384557
21,0.021,0.04361385753686883,0.009500261893204198,0.020199317668384557
22,0.022,0.043389184570698514,0.009500261893204427,0.020199317668384557
23,0.023,0.043155016346798164,0.009500261893204666,0.020199317668384557
24,0.024,0.04291147099328782,0.009500261893204916,0.020199317668384557
25,0.025,0.042658670571947443,0.009500261893205174,0.020199317668384557
26,0.026000000000000002,0.04239674101819708,0.009500261893205443,0.020199317668384557
27,0.027,0.04212581207960667,0.009500261893205719,0.020199317668384557
28,0.028,0.04184601725272626,0.009500261893206005,0.020199317668384557
29,0.029,0.04155749371842585,0.009500261893206302,0.020199317668384557
30,0.03,0.041260382275645414,0.009500261893206605,0.020199317668384557
31,0.031,0.040954827273794965,0.009500261893206918,0.020199317668384557
32,0.032,0.040640976543524505,0.00950026189320724,0.020199317668384557
33,0.033,0.04031898132624405,0.00950026189320757,0.020199317668384557
34,0.034,0.03998899620213357,0.009500261893207906,0.020199317668384557
35,0.035,0.039651179016863075,0.009500261893208252,0.020199317668384557
36,0.036000000000000004,0.039305690806982575,0.009500261893208605,0.020199317668384557
37,0.037,0.03895269572400206,0.009500261893208966,0.020199317668384557
38,0.038,0.03859236095728154,0.009500261893209336,0.020199317668384557
39,0.039,0.038224856655641,0.00950026189320971,0.020199317668384557
40,0.04,0.03785035584785046,0.009500261893210096,0.020199317668384557
41,0.041,0.0374690343619199,0.009500261893210486,0.020199317668384557
42,0.042,0.03708107074336934,0.009500261893210881,0.020199317668384557
43,0.043000000000000003,0.03668664617234877,0.009500261893211286,0.020199317668384557
44,0.044,0.03628594437982818,0.009500261893211695,0.020199317668384557
45,0.045,0.03587915156271759,0.009500261893212111,0.020199317668384557
46,0.046,0.03546645629791699,0.009500261893212535,0.020199317668384557
47,0.047,0.03504804945591638,0.009500261893212963,0.020199317668384557
48,0.048,0.034624124113115766,0.009500261893213397,0.020199317668384557
49,0.049,0.03419487546311514,0.009500261893213836,0.020199317668384557
50,0.05,0.03376050072781451,0.00950026189321428,0.020199317668384557
51,0.051000000000000004,0.03332119906751387,0.009500261893214729,0.020199317668384557
52,0.052000000000000005,0.032877171490213235,0.009500261893215185,0.020199317668384557
53,0.053,0.032428620759912576,0.009500261893215643,0.020199317668384557
54,0.054,0.03197575130521192,0.009500261893216106,0.020199317668384557
55,0.055,0.031518769126511255,0.009500261893216573,0.020199317668384557
56,0.056,0.031057881702910586,0.009500261893217047,0.020199317668384557
57,0.057,0.030593297898709907,0.009500261893217522,0.020199317668384557
58,0.058,0.03012522786930923,0.009500261893218,0.020199317668384557
59,0.059000000000000004,0.029653882966808542,0.009500261893218483,0.020199317668384557
60,0.06,0.029179475645207856,0.009500261893218969,0.020199317668384557
61,0.061,0.028702219365007157,0.009500261893219456,0.020199317668384557
62,0.062,0.028222328498106464,0.009500261893219947,0.020199317668384557
63,0.063,0.027740018231905764,0.009500261893220441,0.020199317668384557
64,0.064,0.027255504473405058,0.009500261893220938,0.020199317668384557
65,0.065,0.02676900375320435,0.009500261893221435,0.020199317668384557
66,0.066,0.026280733129203645,0.009500261893221935,0.020199317668384557
67,0.067,0.02579091009030293,0.009500261893222435,0.020199317668384557
68,0.068,0.02529975246040221,0.009500261893222938,0.020199317668384557
69,0.069,0.0248074783018015,0.009500261893223443,0.020199317668384557
70,0.07,0.024314305818900785,0.009500261893223947,0.020199317668384557
71,0.07100000000000001,0.023820453262400062,0.009500261893224452,0.020199317668384557
72,0.07200000000000001,0.023326138832999343,0.009500261893224959,0.020199317668384557
73,0.073,0.022831580585498626,0.009500261893225464,0.020199317668384557
