time_s z_m[FEM] v_m_per_s[FEM-diff] a_m_per_s2[FEM-diff] i_coil_A[FEM] emf_V[FEM]
1.000000e-03 4.605844e-02 -1.384023e-02 -4.601015e+00 0.000000e+00 0.000000e+00
2.000000e-03 4.604460e-02 -1.844125e-02 -6.895313e+00 4.486153e-07 -4.350809e-06
3.000000e-03 4.602156e-02 -2.763086e-02 -9.176192e+00 6.733126e-04 -6.529992e-03
4.000000e-03 4.598934e-02 -3.679363e-02 -9.147361e+00 1.156916e-03 -1.122012e-02
5.000000e-03 4.594797e-02 -4.592558e-02 -9.114553e+00 1.503836e-03 -1.458466e-02
6.000000e-03 4.589749e-02 -5.502273e-02 -9.077791e+00 1.751911e-03 -1.699057e-02
7.000000e-03 4.583793e-02 -6.408116e-02 -9.037098e+00 1.928375e-03 -1.870197e-02
8.000000e-03 4.576933e-02 -7.309693e-02 -8.992496e+00 2.052833e-03 -1.990900e-02
9.000000e-03 4.569174e-02 -8.206615e-02 -8.944012e+00 2.139401e-03 -2.074856e-02
1.000000e-02 4.560520e-02 -9.098495e-02 -8.891674e+00 2.198245e-03 -2.131926e-02
1.100000e-02 4.550977e-02 -9.984950e-02 -8.835510e+00 2.236689e-03 -2.169209e-02
1.200000e-02 4.540550e-02 -1.086560e-01 -8.775551e+00 2.260005e-03 -2.191822e-02
1.300000e-02 4.529245e-02 -1.174006e-01 -8.711831e+00 2.271994e-03 -2.203449e-02
1.400000e-02 4.517070e-02 -1.260796e-01 -8.644382e+00 2.275389e-03 -2.206742e-02
1.500000e-02 4.504029e-02 -1.346894e-01 -8.573242e+00 2.272155e-03 -2.203605e-02
1.600000e-02 4.490132e-02 -1.432261e-01 -8.498445e+00 2.263700e-03 -2.195405e-02
1.700000e-02 4.475384e-02 -1.516863e-01 -8.420031e+00 2.251024e-03 -2.183112e-02
1.800000e-02 4.459795e-02 -1.600662e-01 -8.338042e+00 2.234830e-03 -2.167407e-02
1.900000e-02 4.443371e-02 -1.683623e-01 -8.252518e+00 2.215596e-03 -2.148753e-02
2.000000e-02 4.426122e-02 -1.765712e-01 -8.163503e+00 2.193627e-03 -2.127447e-02
2.100000e-02 4.408057e-02 -1.846893e-01 -8.071041e+00 2.169092e-03 -2.103652e-02
2.200000e-02 4.389184e-02 -1.927133e-01 -7.975178e+00 2.142041e-03 -2.077417e-02
2.300000e-02 4.369514e-02 -2.006397e-01 -7.875963e+00 2.112412e-03 -2.048682e-02
2.400000e-02 4.349056e-02 -2.084652e-01 -7.773444e+00 2.080035e-03 -2.017282e-02
2.500000e-02 4.327821e-02 -2.161866e-01 -7.667670e+00 2.042088e-03 -1.980479e-02
2.600000e-02 4.305819e-02 -2.238006e-01 -7.558696e+00 2.001209e-03 -1.940834e-02
2.700000e-02 4.283061e-02 -2.313040e-01 -7.446573e+00 1.954012e-03 -1.895060e-02
2.800000e-02 4.259558e-02 -2.386937e-01 -7.331354e+00 1.924985e-03 -1.866909e-02
2.900000e-02 4.235322e-02 -2.459667e-01 -7.213097e+00 1.881083e-03 -1.824332e-02
3.000000e-02 4.210365e-02 -2.531199e-01 -7.091859e+00 1.818302e-03 -1.763445e-02
3.100000e-02 4.184698e-02 -2.601504e-01 -6.967696e+00 1.739410e-03 -1.686934e-02
3.200000e-02 4.158335e-02 -2.670553e-01 -6.840668e+00 1.536531e-03 -1.490175e-02
3.300000e-02 4.131287e-02 -2.738317e-01 -6.710836e+00 1.367584e-03 -1.326325e-02
3.400000e-02 4.103568e-02 -2.804770e-01 -6.578262e+00 1.227465e-03 -1.190433e-02
3.500000e-02 4.075192e-02 -2.869883e-01 -6.443006e+00 1.150281e-03 -1.115578e-02
3.600000e-02 4.046171e-02 -2.933630e-01 -6.305135e+00 1.151309e-03 -1.116575e-02
3.700000e-02 4.016519e-02 -2.995985e-01 -6.164713e+00 1.176746e-03 -1.141245e-02
3.800000e-02 3.986251e-02 -3.056924e-01 -6.021805e+00 1.207630e-03 -1.171197e-02
3.900000e-02 3.955381e-02 -3.116421e-01 -5.876477e+00 1.239726e-03 -1.202324e-02
4.000000e-02 3.923923e-02 -3.174454e-01 -5.728799e+00 1.266152e-03 -1.227953e-02
4.100000e-02 3.891892e-02 -3.230997e-01 -5.578838e+00 1.293908e-03 -1.254872e-02
4.200000e-02 3.859303e-02 -3.286030e-01 -5.426664e+00 1.310379e-03 -1.270846e-02
4.300000e-02 3.826171e-02 -3.339531e-01 -5.272348e+00 1.326994e-03 -1.286959e-02
4.400000e-02 3.792512e-02 -3.391477e-01 -5.115961e+00 1.343101e-03 -1.302580e-02
4.500000e-02 3.758341e-02 -3.441850e-01 -4.957574e+00 1.324935e-03 -1.284962e-02
4.600000e-02 3.723675e-02 -3.490629e-01 -4.797262e+00 1.319006e-03 -1.279212e-02
4.700000e-02 3.688529e-02 -3.537795e-01 -4.635096e+00 1.330608e-03 -1.290465e-02
4.800000e-02 3.652919e-02 -3.583331e-01 -4.471152e+00 1.345537e-03 -1.304943e-02
4.900000e-02 3.616862e-02 -3.627218e-01 -4.305504e+00 1.360827e-03 -1.319771e-02
5.000000e-02 3.580375e-02 -3.669441e-01 -4.138229e+00 1.375800e-03 -1.334293e-02
5.100000e-02 3.543473e-02 -3.709983e-01 -3.969402e+00 1.371639e-03 -1.330257e-02
5.200000e-02 3.506175e-02 -3.748829e-01 -3.799099e+00 1.374027e-03 -1.332573e-02
5.300000e-02 3.468497e-02 -3.785965e-01 -3.627398e+00 1.380397e-03 -1.338751e-02
5.400000e-02 3.430456e-02 -3.821377e-01 -3.454378e+00 1.404575e-03 -1.362200e-02
5.500000e-02 3.392069e-02 -3.855052e-01 -3.280115e+00 1.424863e-03 -1.381875e-02
5.600000e-02 3.353355e-02 -3.886979e-01 -3.104688e+00 1.441951e-03 -1.398448e-02
5.700000e-02 3.314330e-02 -3.917146e-01 -2.928178e+00 1.453480e-03 -1.409629e-02
5.800000e-02 3.275012e-02 -3.945543e-01 -2.750662e+00 1.462159e-03 -1.418046e-02
5.900000e-02 3.235419e-02 -3.972159e-01 -2.572221e+00 1.469546e-03 -1.425211e-02
6.000000e-02 3.195569e-02 -3.996987e-01 -2.392934e+00 1.476929e-03 -1.432371e-02
6.100000e-02 3.155479e-02 -4.020018e-01 -2.212881e+00 1.483026e-03 -1.438284e-02
6.200000e-02 3.115168e-02 -4.041245e-01 -2.032144e+00 1.485922e-03 -1.441092e-02
6.300000e-02 3.074654e-02 -4.060661e-01 -1.850803e+00 1.488486e-03 -1.443580e-02
6.400000e-02 3.033955e-02 -4.078261e-01 -1.668938e+00 1.489611e-03 -1.444671e-02
6.500000e-02 2.993089e-02 -4.094040e-01 -1.486629e+00 1.504837e-03 -1.459437e-02
6.600000e-02 2.952074e-02 -4.107993e-01 -1.303958e+00 1.514831e-03 -1.469130e-02
6.700000e-02 2.910929e-02 -4.120119e-01 -1.121007e+00 1.522102e-03 -1.476181e-02
6.800000e-02 2.869672e-02 -4.130414e-01 -9.378545e-01 1.525925e-03 -1.479889e-02
6.900000e-02 2.828321e-02 -4.138876e-01 -7.545825e-01 1.532954e-03 -1.486706e-02
7.000000e-02 2.786894e-02 -4.145505e-01 -5.712723e-01 1.535990e-03 -1.489650e-02
7.100000e-02 2.745411e-02 -4.150301e-01 -3.880037e-01 1.552248e-03 -1.505417e-02
7.200000e-02 2.703888e-02 -4.153265e-01 -2.048580e-01 1.569266e-03 -1.521922e-02
7.300000e-02 2.662345e-02 -4.154398e-01 -2.191475e-02 1.576080e-03 -1.528530e-02
7.400000e-02 2.620800e-02 -4.153704e-01 1.607460e-01 1.584506e-03 -1.536703e-02
7.500000e-02 2.579271e-02 -4.151184e-01 3.430435e-01 1.583840e-03 -1.536056e-02
7.600000e-02 2.537777e-02 -4.146843e-01 5.248990e-01 1.583556e-03 -1.535781e-02
7.700000e-02 2.496335e-02 -4.140686e-01 7.062332e-01 1.586057e-03 -1.538206e-02
7.800000e-02 2.454963e-02 -4.132718e-01 8.869668e-01 1.598648e-03 -1.550418e-02
7.900000e-02 2.413680e-02 -4.122946e-01 1.067021e+00 1.606464e-03 -1.557998e-02
8.000000e-02 2.372504e-02 -4.111378e-01 1.246319e+00 1.561490e-03 -1.514381e-02
8.100000e-02 2.331453e-02 -4.098020e-01 1.424782e+00 1.527589e-03 -1.481502e-02
8.200000e-02 2.290544e-02 -4.082882e-01 1.602334e+00 1.500142e-03 -1.454883e-02
8.300000e-02 2.249795e-02 -4.065973e-01 1.778897e+00 1.464124e-03 -1.419952e-02
8.400000e-02 2.209224e-02 -4.047304e-01 1.954396e+00 1.461327e-03 -1.417240e-02
8.500000e-02 2.168849e-02 -4.026885e-01 2.128755e+00 1.452949e-03 -1.409115e-02
8.600000e-02 2.128687e-02 -4.004729e-01 2.301899e+00 1.441054e-03 -1.397578e-02
8.700000e-02 2.088754e-02 -3.980847e-01 2.473755e+00 1.369996e-03 -1.328664e-02
8.800000e-02 2.049070e-02 -3.955254e-01 2.644249e+00 1.320588e-03 -1.280747e-02
8.900000e-02 2.009649e-02 -3.927962e-01 2.813307e+00 1.283967e-03 -1.245230e-02
9.000000e-02 1.970510e-02 -3.898988e-01 2.980858e+00 1.254779e-03 -1.216923e-02
9.100000e-02 1.931670e-02 -3.868345e-01 3.146831e+00 1.200761e-03 -1.164535e-02
9.200000e-02 1.893143e-02 -3.836051e-01 3.311155e+00 1.159832e-03 -1.124841e-02
9.300000e-02 1.854948e-02 -3.802122e-01 3.473761e+00 1.126667e-03 -1.092676e-02
9.400000e-02 1.817101e-02 -3.766576e-01 3.634579e+00 1.098103e-03 -1.064974e-02
9.500000e-02 1.779617e-02 -3.729430e-01 3.793543e+00 1.078353e-03 -1.045820e-02
9.600000e-02 1.742512e-02 -3.690705e-01 3.950585e+00 1.058214e-03 -1.026289e-02
9.700000e-02 1.705803e-02 -3.650419e-01 4.105638e+00 1.037994e-03 -1.006678e-02
9.800000e-02 1.669504e-02 -3.608592e-01 4.258639e+00 1.027740e-03 -9.967335e-03
9.900000e-02 1.633631e-02 -3.565246e-01 4.409523e+00 1.013612e-03 -9.830319e-03
1.000000e-01 1.598199e-02 -3.520402e-01 4.558228e+00 9.974298e-04 -9.673380e-03
1.010000e-01 1.563223e-02 -3.474081e-01 4.704690e+00 9.108353e-04 -8.833560e-03
1.020000e-01 1.528717e-02 -3.426308e-01 4.848850e+00 8.805022e-04 -8.539380e-03
1.030000e-01 1.494697e-02 -3.377104e-01 4.990649e+00 8.551712e-04 -8.293712e-03
