   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   1.059101695397E-013   1.332669894586E+001   1.000000000000E-003   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   5.137413451689E-001   0.000000000000E+000   1.000000000000E+001   0.000000000000E+000
   4.486151408524E-007   4.486151408524E-007  -4.486151408524E-006   4.486151408524E-006   2.434652058373E-007   7.398883127852E+004   2.000000000000E-003   4.486151408524E-007   0.000000000000E+000   4.486151408524E-007  -4.486151408524E-006   4.486151408524E-007   4.486151408524E-006   5.137413451689E-001   1.033932942065E-013   1.000000000000E+001   2.012555446020E-012
   6.733122684582E-004   6.733122684582E-004  -6.733122684582E-003   6.733122684582E-003   6.953152906453E-007   2.184133737480E+005   3.000000000000E-003   6.733122684582E-004   0.000000000000E+000   6.733122684582E-004  -6.733122684582E-003   6.733122684582E-004   6.733122684582E-003   5.137413451689E-001   2.329043361649E-007   1.000000000000E+001   4.533494108564E-006
   1.156914815567E-003   1.156914815567E-003  -1.156914815567E-002   1.156914815567E-002   1.168038538439E-006   3.690280894540E+005   4.000000000000E-003   1.156914815567E-003   0.000000000000E+000   1.156914815567E-003  -1.156914815567E-002   1.156914815567E-003   1.156914815567E-002   5.137413451689E-001   6.876180746584E-007   1.000000000000E+001   1.338451890479E-005
   1.503834898010E-003   1.503834898010E-003  -1.503834898010E-002   1.503834898010E-002   1.582200059740E-006   5.008075067124E+005   5.000000000000E-003   1.503834898010E-003   0.000000000000E+000   1.503834898010E-003  -1.503834898010E-002   1.503834898010E-003   1.503834898010E-002   5.137413451689E-001   1.161836018925E-006   1.000000000000E+001   2.261519400473E-005
   1.751909693503E-003   1.751909693503E-003  -1.751909693503E-002   1.751909693503E-002   1.915457257279E-006   6.067635380209E+005   6.000000000000E-003   1.751909693503E-003   0.000000000000E+000   1.751909693503E-003  -1.751909693503E-002   1.751909693503E-003   1.751909693503E-002   5.137413451689E-001   1.576768552940E-006   1.000000000000E+001   3.069187574191E-005
   1.928372980227E-003   1.928372980227E-003  -1.928372980227E-002   1.928372980227E-002   2.169836613612E-006   6.875982068387E+005   7.000000000000E-003   1.928372980227E-003   0.000000000000E+000   1.928372980227E-003  -1.928372980227E-002   1.928372980227E-003   1.928372980227E-002   5.137413451689E-001   1.910410048711E-006   1.000000000000E+001   3.718622350870E-005
   2.052830224632E-003   2.052830224632E-003  -2.052830224632E-002   2.052830224632E-002   2.356222480067E-006   7.468008551597E+005   8.000000000000E-003   2.052830224632E-003   0.000000000000E+000   2.052830224632E-003  -2.052830224632E-002   2.052830224632E-003   2.052830224632E-002   5.137413451689E-001   2.164963532208E-006   1.000000000000E+001   4.214111931164E-005
   2.139397923353E-003   2.139397923353E-003  -2.139397923353E-002   2.139397923353E-002   2.487364040109E-006   7.884393915696E+005   9.000000000000E-003   2.139397923353E-003   0.000000000000E+000   2.139397923353E-003  -2.139397923353E-002   2.139397923353E-003   2.139397923353E-002   5.137413451689E-001   2.351406196633E-006   1.000000000000E+001   4.577023474449E-005
   2.198242194897E-003   2.198242194897E-003  -2.198242194897E-002   2.198242194897E-002   2.575007063506E-006   8.162557266817E+005   1.000000000000E-002   2.198242194897E-003   0.000000000000E+000   2.198242194897E-003  -2.198242194897E-002   2.198242194897E-003   2.198242194897E-002   5.137413451689E-001   2.482536246521E-006   1.000000000000E+001   4.832268747427E-005
   2.236685383824E-003   2.236685383824E-003  -2.236685383824E-002   2.236685383824E-002   2.628953730618E-006   8.333705319697E+005   1.100000000000E-002   2.236685383824E-003   0.000000000000E+000   2.236685383824E-003  -2.236685383824E-002   2.236685383824E-003   2.236685383824E-002   5.137413451689E-001   2.570125425761E-006   1.000000000000E+001   5.002761506214E-005
   2.260001893659E-003   2.260001893659E-003  -2.260001893659E-002   2.260001893659E-002   2.656969988133E-006   8.422555904102E+005   1.200000000000E-002   2.260001893659E-003   0.000000000000E+000   2.260001893659E-003  -2.260001893659E-002   2.260001893659E-003   2.260001893659E-002   5.137413451689E-001   2.623989691872E-006   1.000000000000E+001   5.107608559341E-005
